SETNO,START_SET,END_SET,LONGITUDE_START,LATITUDE_START,LONGITUDE_FINISH,LATITUDE_FINISH,DEPTH_START,DEPTH_FINISH,SET_DIST,SET_SECS,SET_SPEED,SPEED,DEPTH_TRWL_AVE,TEMP_TRWL_AVE
BOF2013001.004.D,2013-08-01T09:59:00Z,2013-08-01T10:29:00Z,-66.7893,44.9939,-66.7881,44.9773,60,76,742.528158644163,1800,1.485056317288326,2.7,66.52,9.22
BOF2013001.005.D,2013-08-01T11:36:00Z,2013-08-01T11:48:00Z,-66.8817,44.8676,-66.8782,44.8742,68,66,485.8501698317521,720,2.4292508491587603,2.2,64.57,9.26
BOF2013001.006.D,2013-08-01T12:37:00Z,2013-08-01T01:07:00Z,-66.8768,44.8913,-66.8835,44.907,80,66,1015.828210239447,-41400,-0.08833288784690843,2.3,71.69,9.37
BOF2013001.007.B,2013-08-02T09:30:00Z,2013-08-02T10:00:00Z,-66.9349,45.0678,-66.9444,45.0803,70,70,1192.142507217592,1800,2.3842850144351844,2.4,80.79,11.3
BOF2013001.008.B,2013-08-02T11:48:00Z,2013-08-02T12:18:00Z,-66.9664,45.1118,-66.9688,45.0972,28,36,691.5891290613679,1800,1.3831782581227359,2.2,35.21,11.5
BOF2013001.009.C,2013-08-29T09:21:00Z,2013-08-29T09:51:00Z,-67.0339,44.9871,-67.0451,45.0038,64,52,1445.3542240004117,1800,2.8907084480008236,2.2,NA,NA
BOF2013001.01.C,2013-08-29T11:21:00Z,2013-08-29T11:51:00Z,-67.0085,45.0165,-67.0373,45.0142,33,41,3213.4011362170854,1800,6.426802272434171,2.5,NA,NA
BOF2013001.011.B,2013-08-29T01:05:00Z,2013-08-29T01:35:00Z,-66.9352,45.0658,-66.9357,45.083,70,53,754.3144729433711,1800,1.5086289458867423,2.1,NA,NA
BOF2013001.012.D,2013-09-12T09:58:00Z,2013-09-12T10:28:00Z,-66.7366,45.0045,-66.8192,45.0139,46,37,9220.729592247613,1800,18.441459184495226,2.1,NA,NA
BOF2013001.013.D,2013-09-12T11:37:00Z,2013-09-12T12:07:00Z,-66.8565,44.9353,-66.8631,44.9509,90,97,1005.0505254305322,1800,2.0101010508610644,2.1,NA,NA
BOF2013001.014.C,2013-09-13T09:46:00Z,2013-09-13T10:15:00Z,-67.0156,45.0196,-67.031,45.0069,29,42,1804.4117875994307,1740,3.7332657674470973,2.2,NA,NA
BOF2013001.015.C,2013-09-13T11:12:00Z,2013-09-13T11:42:00Z,-66.987,45.0438,-66.984,45.0268,25,33,813.9209531388593,1800,1.6278419062777187,2.2,NA,NA
BOF2013001.016.D,2013-10-10T10:02:00Z,2013-10-10T10:32:00Z,-66.8659,44.9051,-66.8671,44.8886,78,93,735.9422358337864,1800,1.4718844716675727,2.3,86.95,11.3
BOF2013001.017.D,2013-10-10T12:27:00Z,2013-10-10T12:57:00Z,-66.7474,45.0205,-66.7235,45.0195,45,51,2665.646264419463,1800,5.331292528838926,2.8,48.76,11.8
BOF2013001.018.C,2013-10-11T10:29:00Z,2013-10-11T10:55:00Z,-67.0202,45.004,-67.0272,45.0143,38,29,900.4922188368043,1560,2.0780589665464713,2.4,31.23,12.31
BOF2013001.019.B,2013-10-11T11:58:00Z,2013-10-11T12:28:00Z,-66.9664,45.111,-66.9816,45.0972,24,33,1799.0484608754964,1800,3.598096921750993,2.4,31.33,12.54
BOF2014001.001.B,2014-07-10T09:36:00Z,2014-07-10T09:53:00Z,-66.9462,45.0685,-66.9397,45.0815,59,64,921.1537474005473,1020,3.2511308731784023,2.3,69.31,9.59
BOF2014001.002.D,2014-07-10T12:21:00Z,2014-07-10T12:57:00Z,-66.7677,44.9961,-66.7842,44.9831,58,70,1926.99438029157,2160,3.21165730048595,2.3,62.35,7.81
BOF2014001.003.D,2014-07-11T10:04:00Z,2014-07-11T10:34:00Z,-66.8757,44.9216,-66.8747,44.9036,113,79,797.0213561763449,1800,1.5940427123526897,2.4,91.52,8.53
BOF2014001.004.C,2014-07-11T12:12:00Z,2014-07-11T12:24:00Z,-67.0297,44.9765,-67.0358,44.98,75,72,697.161542522564,720,3.48580771261282,2.3,74,9.79
BOF2014001.005.D,2014-07-31T10:16:00Z,2014-07-31T10:46:00Z,-66.7872,45.003,-66.7587,45.0177,50,43,3243.503328020691,1800,6.487006656041381,2.5,46.11,9.82
BOF2014001.006.D,2014-07-31T12:05:00Z,2014-07-31T12:36:00Z,-66.8705,44.9133,-66.8869,44.8936,99,56,2022.5659115694168,1860,3.914643699811774,2.3,70.76,10.02
BOF2014001.007.A,2014-08-15T08:55:00Z,2014-08-15T09:05:00Z,-67.0974,45.0893,-67.1009,45.0941,26,23,442.53821867179744,600,2.6552293120307846,2.4,24.25,12.97
BOF2014001.008.C,2014-08-15T10:13:00Z,2014-08-15T10:28:00Z,-67.0022,45.0014,-66.9931,45.0234,32,24,1396.7814697620113,900,5.587125879048045,2.4,27.91,12.18
BOF2014001.009.D,2014-08-15T11:30:00Z,2014-08-15T12:00:00Z,-66.9689,45.0856,-66.9739,45.1053,36,31,1025.220863857324,1800,2.0504417277146483,2.4,34.77,12.11
BOF2014001.01.A,2014-08-25T11:47:00Z,2014-08-25T11:57:00Z,-67.101,45.0956,-67.0981,45.0891,26,29,429.33817063840615,600,2.576029023830437,2.4,27.81,12.75
BOF2014001.011.B,2014-08-25T13:00:00Z,2014-08-25T13:30:00Z,-66.9901,45.0672,-66.9793,45.0838,44,40,1405.5692561360886,1800,2.8111385122721773,2.4,44.69,12.53
BOF2014001.012.A,2014-08-26T09:20:00Z,2014-08-26T09:30:00Z,-67.0737,45.0575,-67.0687,45.0518,26,26,610.2383598057681,600,3.6614301588346088,2.4,26.17,12.59
BOF2014001.013.C,2014-08-26T10:18:00Z,2014-08-26T10:48:00Z,-67.0456,45.0258,-67.0256,45.0381,27,22,2293.8849223191496,1800,4.5877698446382995,2.4,24.35,12.58
BOF2014001.014.B,2014-08-26T11:55:00Z,2014-08-26T12:10:00Z,-66.9599,45.0555,-66.9649,45.0504,39,28,600.4722616068033,900,2.401889046427213,2.4,35.37,12.84
BOF2014001.015.D,2014-09-04T10:09:00Z,2014-09-04T10:39:00Z,-66.7761,45.0192,-66.7508,45.0188,77,43,2821.471939120802,1800,5.642943878241604,2.4,44.5,10.78
BOF2014001.016.D,2014-09-04T12:11:00Z,2014-09-04T12:31:00Z,-66.8271,44.9709,-66.8312,44.9826,77,67,687.8842095259716,1200,2.0636526285779144,2.2,72.51,10.88
BOF2014001.017.C,2014-09-05T09:19:00Z,2014-09-05T09:44:00Z,-67.0418,45.0108,-67.0233,45.0199,53,28,2100.899495738178,1500,5.0421587897716265,2.5,40.39,12.92
BOF2014001.018.B,2014-09-05T11:30:00Z,2014-09-05T12:00:00Z,-66.9666,45.1056,-66.9636,45.0822,34,44,1075.5281703366904,1800,2.1510563406733807,2.4,38.06,12.79
BOF2014001.019.C,2014-10-09T09:43:00Z,2014-10-09T10:13:00Z,-67.0177,44.9924,-67.0009,45.0069,51,37,1977.3708229929962,1800,3.9547416459859925,2.5,47.91,12.58
BOF2014001.02.C,2014-10-09T12:17:00Z,2014-10-09T12:34:00Z,-66.9783,45.0364,-66.9677,45.0421,34,36,1208.0481654398588,1020,4.263699407434796,2.3,39.6,12.69
BOF2015001.001.C,2015-07-14T10:37:00Z,2015-07-14T10:58:00Z,-66.9926,45.0356,-66.9804,45.0454,30,31,1426.2087054718522,1260,4.074882015633864,2.6,27.77,9.91
BOF2015001.002.D,2015-07-14T12:17:00Z,2015-07-14T12:37:00Z,-66.8841,44.9216,-66.8823,44.906,98,75,712.5912325275402,1200,2.1377736975826207,2.6,92.81,8.29
BOF2015001.003.A,2015-07-30T09:51:00Z,2015-07-30T10:09:00Z,-67.091,45.0714,-67.0833,45.0634,26,31,926.452743492859,1080,3.0881758116428633,2.2,NA,NA
BOF2015001.004.B,2015-07-30T10:53:00Z,2015-07-30T11:13:00Z,-66.9779,45.0732,-66.9623,45.0875,46,45,1848.4348394487365,1200,5.54530451834621,2.7,NA,NA
BOF2015001.005.D,2015-07-30T12:37:00Z,2015-07-30T12:58:00Z,-66.7763,45.0009,-66.7577,45.0001,56,56,2074.5433761223185,1260,5.927266788920909,2.3,NA,NA
BOF2015001.006.A,2015-08-17T08:49:00Z,2015-08-17T09:03:00Z,-67.1022,45.0969,-67.0995,45.0888,22,25,463.11136366188117,840,1.984762987122348,2.4,23.66,12.7
BOF2015001.007.D,2015-08-17T10:54:00Z,2015-08-17T11:14:00Z,-66.8862,44.9254,-66.8718,44.9248,86,89,1606.1048124157298,1200,4.8183144372471896,2.4,93.29,9.88
BOF2015001.008.D,2015-08-17T12:11:00Z,2015-08-17T12:32:00Z,-66.7743,44.9902,-66.7638,44.9793,63,74,1265.494314286797,1260,3.6156980408194195,2.3,67.06,9.54
BOF2015001.009.C,2015-08-18T08:54:00Z,2015-08-18T09:10:00Z,-67.081,45.0444,-67.054,45.0362,27,25,3032.1675939788656,960,11.370628477420746,2.5,25.62,12.25
BOF2015001.01.C,2015-08-18T09:59:00Z,2015-08-18T10:15:00Z,-67.0432,45.0242,-67.0357,45.0162,26,35,906.07545876199,960,3.3977829703574627,2.3,28.88,12.31
BOF2015001.011.B,2015-08-18T11:08:00Z,2015-08-18T11:29:00Z,-66.9769,45.075,-66.9785,45.0924,42,34,780.3551387802386,1260,2.2295861108006814,2.7,38.1,12.19
BOF2015001.012.B,2015-08-18T12:35:00Z,2015-08-18T12:58:00Z,-66.9464,45.0858,-66.9401,45.0725,57,77,912.0088155889732,1380,2.3791534319712344,2.4,69.8,12.18
BOF2015001.013.A,2015-09-02T09:44:00Z,2015-09-02T09:49:00Z,-67.1033,45.1012,-67.0999,45.0907,25,24,593.1280475080644,300,7.117536570096772,2.4,23.56,14.23
BOF2015001.014.D,2015-09-17T09:57:00Z,2015-09-17T10:17:00Z,-66.7934,45.016,-66.7713,45.018,38,41,2466.135076561785,1200,7.3984052296853555,2.7,40.15,12.43
BOF2015001.015.D,2015-09-17T11:21:00Z,2015-09-17T11:41:00Z,-66.7057,45.0027,-66.7235,44.9996,66,60,1989.7247572368976,1200,5.969174271710693,2.5,63.95,10.82
BOF2015001.016.D,2015-09-17T12:47:00Z,2015-09-17T13:08:00Z,-66.8534,44.9347,-66.845,44.9521,95,93,1208.6120813724713,1260,3.453177375349918,2.5,94.54,10.9
BOF2015001.017.A,2015-09-18T09:00:00Z,2015-09-18T09:15:00Z,-67.1076,45.107,-67.102,45.099,26,24,714.6776513537625,900,2.85871060541505,2.4,26.24,13.47
BOF2015001.018.C,2015-09-18T10:22:00Z,2015-09-18T10:42:00Z,-67.0567,45.0218,-67.0487,45.0079,29,41,1077.9681490783162,1200,3.233904447234948,2.5,34.83,13.09
BOF2015001.019.B,2015-09-18T11:56:00Z,2015-09-18T12:17:00Z,-67.0079,45.0986,-66.9884,45.0999,33,34,2175.414167513424,1260,6.2154690500383545,2.5,33.98,13.18
