UID,SCIENTIFIC_NAME,COMMON_NAME,NUMBER_CAUGHT,BIOMASS,COMMENTS
BOF2013001.007.D,Ctenodiscus crispatus,mud star,57,309,NA
BOF2013001.008.D,Cyclopterus lumpus,lumpfish,1,460,NA
BOF2013001.009.D,Gadus morhua,Atlantic cod,2,13.7,NA
BOF2013001.01.D,Glyptocephalus cynoglossus,witch flounder,4,322,NA
BOF2013001.011.D,Hippoglossoides platessoides,American plaice,14,1241,NA
BOF2013001.012.D,Homarus americanus,American lobster,6,5706,NA
BOF2013001.013.D,Melanogrammus aeglefinus,haddock,1,8,NA
BOF2013001.014.D,Merluccius bilinearis,silver hake,580,27247,NA
BOF2013001.015.D,Microgadus tomcod,Atlantic tomcod,3,22,NA
BOF2013001.016.D,Myoxocephalus octodecemspinosus,longhorn sculpin,1,210,NA
BOF2013001.017.D,Pandalus borealis,northern shrimp,265,2318,NA
BOF2013001.018.D,Pandalus montagui,Montague shrimp,309,1358,NA
BOF2013001.019.D,Placopecten magellanicus,deep sea scallop,3,8,NA
BOF2013001.02.D,Pseudopleuronectes americanus,winter flounder,76,16570.98039,NA
BOF2013001.001.D,Urophycis chuss,red hake,4,754,NA
BOF2013001.002.D,Alosa pseudoharengus,alewife,2,166,NA
BOF2013001.003.D,Aspidophoroides monopterygius,Atlantic alligatorfish,21,59.3,NA
BOF2013001.004.D,Bolinopsis infundibulum,comb jelly,13,15,NA
BOF2013001.005.D,Clupea harengus,herring,5,303,NA
BOF2013001.006.D,Crangon septemspinosa,sand shrimp,1,2,NA
BOF2013001.007.D,Ctenodiscus crispatus,mud star,19,122,NA
BOF2013001.008.D,Hemitripterus americanus,sea raven,2,1019,NA
BOF2013001.009.D,Hippoglossoides platessoides,American plaice,1,58,NA
BOF2013001.01.D,Homarus americanus,American lobster,8,6778,NA
BOF2013001.011.D,Lebbeus groenlandicus,Greenland shrimp,2,5,NA
BOF2013001.012.D,Lithodes maja,northern stone crab,1,18,NA
BOF2013001.013.D,Lophius americanus,monkfish,1,250,NA
BOF2013001.014.D,Melanogrammus aeglefinus,haddock,20,209,NA
BOF2013001.015.D,Merluccius bilinearis,silver hake,129,6774,NA
BOF2013001.016.D,Myoxocephalus octodecemspinosus,longhorn sculpin,2,133,NA
BOF2013001.017.D,Ophiopholis aculeata,daisy brittle star,50,40,NA
BOF2013001.018.D,Pandalus montagui,Montague shrimp,18,70,NA
BOF2013001.019.D,Placopecten magellanicus,deep sea scallop,1,8,NA
BOF2013001.02.D,Pseudopleuronectes americanus,winter flounder,33,2404,NA
BOF2013001.021.D,Semirossia tenera,lesser bobtail squid,2,36,NA
BOF2013001.022.D,Urophycis chuss,red hake,2,141,NA
BOF2013001.001.D,Alosa pseudoharengus,alewife,6,757,NA
BOF2013001.002.D,Aspidophoroides monopterygius,Atlantic alligatorfish,3,11,NA
BOF2013001.003.D,Clupea harengus,herring,8,422,NA
BOF2013001.004.D,Ctenodiscus crispatus,mud star,1,7,NA
BOF2013001.005.D,Hemitripterus americanus,sea raven,5,3482,NA
BOF2013001.006.D,Homarus americanus,American lobster,90,44142.45,NA
BOF2013001.007.D,Doryteuthis pealeii,longfin inshore squid,2,52,NA
BOF2013001.008.D,Melanogrammus aeglefinus,haddock,22,282,NA
BOF2013001.009.D,Merluccius bilinearis,silver hake,1183,40929,NA
