UID,SCIENTIFIC_NAME,COMMON_NAME,NUMBER_CAUGHT,BIOMASS,COMMENTS
BOF2013001.009.C,Hyas araneus,Atlantic lyre crab,1,28,NA
BOF2013001.01.C,Doryteuthis pealeii,longfin inshore squid,2,156,NA
BOF2013001.011.C,Leucoraja erinacea,little skate,1,24,NA
BOF2013001.012.C,Leucoraja ocellata,winter skate,1,152,NA
BOF2013001.013.C,Lycodes lavalaei,Laval's eelpout,1,63,NA
BOF2013001.014.C,Melanogrammus aeglefinus,haddock,17,860,NA
BOF2013001.015.C,Merluccius bilinearis,silver hake,372,21994,NA
BOF2013001.016.C,Myoxocephalus octodecemspinosus,longhorn sculpin,2,112,NA
BOF2013001.017.C,Pandalus montagui,Montague shrimp,12,34,NA
BOF2013001.018.C,Peprilus triacanthus,butterfish,3,262,NA
BOF2013001.019.C,Placopecten magellanicus,deep sea scallop,23,217,NA
BOF2013001.02.C,Pseudopleuronectes americanus,winter flounder,353,18687,NA
BOF2013001.021.C,Scomber scombrus,mackerel,2,416,NA
BOF2013001.022.C,Scophthalmus aquosus,windowpane flounder,7,304,NA
BOF2013001.001.C,Spisula solidissima,surf clam,6,111,NA
BOF2013001.002.C,Strongylocentrotus droebachiensis,green sea urchin,13,541,NA
BOF2013001.003.C,Filograna sp.,Filograna sp.,1,5,NA
BOF2013001.004.C,Urophycis chuss,red hake,33,2542,NA
BOF2013001.005.C,Urophycis tenuis,white hake,2,204,NA
BOF2013001.006.B,Alosa pseudoharengus,alewife,1085,48879,NA
BOF2013001.007.B,Clupea harengus,herring,108,4192,NA
BOF2013001.008.B,Ctenodiscus crispatus,mud star,1,4,NA
BOF2013001.009.B,Cuaudina arenata,rat-tailed sea cucumber,1,56,NA
BOF2013001.01.B,Homarus americanus,American lobster,209,169914,NA
BOF2013001.011.B,Doryteuthis pealeii,longfin inshore squid,1,58,NA
BOF2013001.012.B,Mercenaria mercenaria,quahog,17,398,NA
BOF2013001.013.B,Merluccius bilinearis,silver hake,129,8662,NA
BOF2013001.014.B,Myoxocephalus octodecemspinosus,longhorn sculpin,1,81,NA
BOF2013001.015.B,Pandalus montagui,Montague shrimp,5,24,NA
BOF2013001.016.B,Peprilus triacanthus,butterfish,33,1724,NA
BOF2013001.017.B,Placopecten magellanicus,deep sea scallop,3,10,NA
BOF2013001.018.B,Pseudopleuronectes americanus,winter flounder,135,5524,NA
BOF2013001.019.B,Scophthalmus aquosus,windowpane flounder,7,273,NA
BOF2013001.02.B,Strongylocentrotus droebachiensis,green sea urchin,1,6,NA
BOF2013001.021.B,Suberites ficus,fig sponge,1,324,NA
BOF2013001.022.B,Urophycis chuss,red hake,9,778,NA
BOF2013001.023.B,Urophycis tenuis,white hake,5,444,NA
BOF2014001.024.B,Merluccius bilinearis,silver hake,35,955,NA
BOF2014001.025.B,Zoarces americanus,ocean pout,4,1040,NA
BOF2014001.026.B,Triglops murrayi,moustache sculpin,2,43,NA
BOF2014001.001.B,Doryteuthis pealeii,longfin inshore squid,134,4375,NA
BOF2014001.002.B,Pandalus montagui,Montague shrimp,1758,8440,NA
BOF2014001.003.B,Homarus americanus,American lobster,210,75837,NA
BOF2014001.004.B,Alosa pseudoharengus,alewife,5,868,NA
BOF2014001.005.B,Gadus morhua,Atlantic cod,1,150,NA
BOF2014001.006.B,Aspidophoroides monopterygius,Atlantic alligatorfish,2,10,NA
BOF2014001.007.B,Hippoglossoides platessoides,American plaice,2,19,NA
BOF2014001.008.B,Scophthalmus aquosus,windowpane flounder,2,80,NA
BOF2014001.009.B,Osmerus mordax,smelt,1,21,NA
BOF2014001.01.B,Melanogrammus aeglefinus,haddock,1,6,NA
BOF2014001.011.B,Urophycis chuss,red hake,5,168,NA
BOF2014001.012.B,Pandalus borealis,northern shrimp,5,74,NA
BOF2014001.013.B,Placopecten magellanicus,deep sea scallop,4,22,NA
BOF2014001.014.B,Aurelia aurita,moon jelly,17,774,NA
BOF2014001.015.B,Strongylocentrotus droebachiensis,green sea urchin,166,3118,NA
BOF2014001.016.D,Homarus americanus,American lobster,28,21544,NA
BOF2014001.017.D,Cancer irroratus,rock crab,32,4493,NA
BOF2014001.018.D,Placopecten magellanicus,deep sea scallop,64,1111,NA
BOF2014001.019.D,Ophiopholis aculeata,daisy brittle star,812000,406e3,NA
BOF2014001.02.D,Ctenodiscus crispatus,mud star,5829,48090,NA
BOF2014001.021.D,Merluccius bilinearis,silver hake,57,1813,NA
BOF2014001.022.D,Pseudopleuronectes americanus,winter flounder,135,22524,NA
BOF2014001.001.D,Hippoglossoides platessoides,American plaice,64,4036,NA
BOF2014001.002.D,Leucoraja ocellata,winter skate,1,694,NA
BOF2014001.003.D,Myoxocephalus octodecemspinosus,longhorn sculpin,6,954,NA
BOF2014001.004.D,Scophthalmus aquosus,windowpane flounder,5,383,NA
BOF2014001.005.D,Zoarces americanus,ocean pout,1,205,NA
BOF2014001.006.D,Peprilus triacanthus,butterfish,2,77,NA
BOF2014001.007.D,Glyptocephalus cynoglossus,witch flounder,2,15,NA
BOF2014001.001.D,Asterias vulgaris,northern sea star,1,26,NA
BOF2014001.002.D,Semirossia tenera,lesser bobtail squid,1,9,NA
BOF2014001.003.D,Lophius americanus,monkfish,1,45,NA
BOF2014001.004.D,Aphrodita aculeata,sea mouse,2,14,NA
BOF2014001.005.D,Cucumaria frondosa,orange-footed sea cucumber,1,15,NA
BOF2014001.006.D,Spisula solidissima,surf clam,3,12,NA
BOF2014001.007.D,Homarus americanus,American lobster,146,116082,NA
BOF2014001.008.D,Cancer irroratus,rock crab,2,420,NA
BOF2014001.009.D,Clupea harengus,herring,12,724,NA
BOF2014001.001.D,Aspidophoroides monopterygius,Atlantic alligatorfish,3,8,NA
BOF2014001.002.D,Aurelia aurita,moon jelly,3,144,NA
BOF2014001.003.D,Astarte castanea,chestnut astarte,1,18,NA
BOF2014001.004.D,Osmerus mordax,smelt,1,22,NA
BOF2014001.005.D,Sebastes fasciatus,Acadian redfish,1,2,NA
BOF2014001.006.D,Peprilus triacanthus,butterfish,3,233,NA
BOF2014001.007.D,Urophycis chuss,red hake,6,234,NA
BOF2014001.008.D,Gadus morhua,Atlantic cod,1,1319,NA
BOF2014001.009.D,Hemitripterus americanus,sea raven,3,3203,NA
BOF2014001.01.D,Cryptacanthodes maculatus,wrymouth,1,183,NA
BOF2014001.011.D,Myoxocephalus octodecemspinosus,longhorn sculpin,22,2577,NA
BOF2014001.012.D,Doryteuthis pealeii,longfin inshore squid,15,680,NA
BOF2014001.001.D,Pandalus montagui,Montague shrimp,3315,13729,NA
BOF2014001.002.D,Pseudopleuronectes americanus,winter flounder,9,5959,NA
BOF2014001.003.D,Merluccius bilinearis,silver hake,55,2083,NA
BOF2014001.004.D,Enchelyopus cimbrius,fourbeard rockling,22,1032,NA
BOF2014001.005.D,Melanogrammus aeglefinus,haddock,3,303,NA
BOF2014001.006.D,Halichondria sp.,Halichondria sp.,1,28,NA
BOF2014001.007.C,Melanogrammus aeglefinus,haddock,203,31279,NA
BOF2014001.008.C,Pseudopleuronectes americanus,winter flounder,59,3573,NA
BOF2014001.009.C,Amblyraja radiata,thorny skate,1,254,NA
BOF2014001.01.C,Leucoraja erinacea,little skate,5,2033,NA
BOF2014001.011.C,Urophycis chuss,red hake,85,4451,NA
BOF2014001.012.C,Pandalus borealis,northern shrimp,1,8,NA
BOF2014001.013.C,Pandalus montagui,Montague shrimp,27,87,NA
BOF2014001.014.C,Homarus americanus,American lobster,5,8263,NA
BOF2014001.015.C,Cancer irroratus,rock crab,2,436,NA
BOF2014001.016.C,Strongylocentrotus droebachiensis,green sea urchin,26,584,NA
BOF2014001.017.C,Placopecten magellanicus,deep sea scallop,4,38,NA
BOF2014001.018.C,Hemitripterus americanus,sea raven,1,760,NA
BOF2014001.019.C,Aurelia aurita,moon jelly,45,2938,NA
BOF2014001.001.C,Cucumaria frondosa,orange-footed sea cucumber,1,47,NA
BOF2014001.002.C,Myoxocephalus octodecemspinosus,longhorn sculpin,18,1213,NA
BOF2014001.003.C,Merluccius bilinearis,silver hake,10,334,NA
BOF2014001.004.C,Scophthalmus aquosus,windowpane flounder,2,117,NA
BOF2014001.005.C,Styela montereyensis,stalked tunicate,4,61,NA
BOF2014001.006.D,Pandalus montagui,Montague shrimp,324,2718,NA
BOF2014001.007.D,Pseudopleuronectes americanus,winter flounder,58,9676,NA
BOF2014001.008.D,Clupea harengus,herring,36,1369,NA
BOF2014001.009.D,Alosa pseudoharengus,alewife,41,3510,NA
BOF2014001.01.D,Placopecten magellanicus,deep sea scallop,7,122,NA
BOF2014001.011.D,Homarus americanus,American lobster,16,17536,NA
BOF2014001.012.D,Cancer irroratus,rock crab,8,762,NA
BOF2014001.013.D,Glyptocephalus cynoglossus,witch flounder,2,18,NA
BOF2014001.014.D,Peprilus triacanthus,butterfish,3,124,NA
BOF2014001.015.D,Doryteuthis pealeii,longfin inshore squid,2,28,NA
BOF2014001.016.D,Hippoglossoides platessoides,American plaice,11,128,NA
BOF2014001.017.D,Myoxocephalus octodecemspinosus,longhorn sculpin,1,452,NA
BOF2014001.018.D,Ctenodiscus crispatus,mud star,16,100,NA
BOF2014001.019.D,Aurelia aurita,moon jelly,3,256,NA
BOF2014001.02.D,Hippoglossus hippoglossus,Atlantic halibut,1,2779,NA
BOF2014001.001.D,Homarus americanus,American lobster,44,15978,NA
BOF2014001.002.D,Cancer irroratus,rock crab,4,290,NA
BOF2014001.003.D,Pseudopleuronectes americanus,winter flounder,7,694,NA
BOF2014001.004.D,Alosa pseudoharengus,alewife,1,177,NA
BOF2014001.005.D,Peprilus triacanthus,butterfish,1,58,NA
BOF2014001.006.D,Hippoglossoides platessoides,American plaice,5,24,NA
BOF2014001.007.D,Doryteuthis pealeii,longfin inshore squid,5,119,NA
BOF2014001.008.D,Aurelia aurita,moon jelly,2,221,NA
BOF2014001.009.D,Merluccius bilinearis,silver hake,186,6106,NA
BOF2014001.01.D,Pandalus montagui,Montague shrimp,1115,992,NA
BOF2014001.011.D,Melanogrammus aeglefinus,haddock,115,12109,NA
BOF2014001.012.D,Clupea harengus,herring,378,32995,NA
BOF2014001.013.A,Cyclopterus lumpus,lumpfish,1,219,NA
BOF2014001.014.A,Hippoglossus hippoglossus,Atlantic halibut,1,185,NA
BOF2014001.015.A,Aurelia aurita,moon jelly,79,11985,NA
BOF2014001.016.A,Alosa pseudoharengus,alewife,40,1537,NA
BOF2014001.017.A,Merluccius bilinearis,silver hake,19,798,NA
BOF2014001.018.A,Pseudopleuronectes americanus,winter flounder,34,1134,NA
BOF2014001.019.A,Clupea harengus,herring,2,44,NA
BOF2014001.02.A,Myoxocephalus octodecemspinosus,longhorn sculpin,2,172,NA
BOF2014001.021.A,Hemitripterus americanus,sea raven,1,108,NA
BOF2014001.022.A,Doryteuthis pealeii,longfin inshore squid,2,108,NA
BOF2014001.001.A,Melanogrammus aeglefinus,haddock,1,4,NA
BOF2014001.002.A,Homarus americanus,American lobster,34,15674,NA
BOF2014001.003.A,Cancer irroratus,rock crab,3,576,NA
BOF2014001.004.A,Placopecten magellanicus,deep sea scallop,6,135,NA
BOF2014001.005.A,Strongylocentrotus droebachiensis,green sea urchin,18,672,NA
BOF2014001.006.A,Cucumaria frondosa,orange-footed sea cucumber,5,873,NA
BOF2014001.007.A,Pandalus montagui,Montague shrimp,5,14,NA
BOF2014001.008.A,Sclerocrangon boreas,sculptured shrimp,4,25,NA
BOF2014001.009.C,Pseudopleuronectes americanus,winter flounder,53,2953,NA
BOF2014001.01.C,Urophycis chuss,red hake,24,1417,NA
BOF2014001.011.C,Merluccius bilinearis,silver hake,49,3103,NA
BOF2014001.012.C,Alosa pseudoharengus,alewife,7,548,NA
BOF2014001.013.C,Aurelia aurita,moon jelly,55,3862,NA
BOF2014001.014.C,Homarus americanus,American lobster,28,23506,NA
BOF2014001.015.C,Cancer irroratus,rock crab,9,1386,NA
BOF2014001.016.C,Placopecten magellanicus,deep sea scallop,19,887,NA
BOF2014001.017.C,Spisula solidissima,surf clam,21,223,NA
BOF2014001.018.C,Clinocardium ciliatum,Iceland cockle,10,77,NA
BOF2014001.019.C,Clupea harengus,herring,1,34,NA
BOF2014001.02.C,Hippoglossoides platessoides,American plaice,3,39,NA
BOF2014001.021.C,Scophthalmus aquosus,windowpane flounder,2,219,NA
BOF2014001.022.C,Myoxocephalus octodecemspinosus,longhorn sculpin,1,36,NA
BOF2014001.023.C,Pandalus montagui,Montague shrimp,6,22,NA
BOF2014001.024.D,Homarus americanus,American lobster,267,159797,NA
BOF2014001.025.D,Myoxocephalus octodecemspinosus,longhorn sculpin,35,3143,NA
BOF2014001.026.D,Cancer irroratus,rock crab,9,967,NA
BOF2014001.001.D,Osmerus mordax,smelt,16,448,NA
BOF2014001.002.D,Melanogrammus aeglefinus,haddock,6,26,NA
BOF2014001.003.D,Clupea harengus,herring,5,101,NA
BOF2014001.004.D,Doryteuthis pealeii,longfin inshore squid,6,175,NA
BOF2014001.005.D,Placopecten magellanicus,deep sea scallop,3,160,NA
BOF2014001.006.D,Spisula solidissima,surf clam,30,533,NA
BOF2014001.007.D,Pandalus borealis,northern shrimp,1,16,NA
BOF2014001.008.D,Pandalus montagui,Montague shrimp,2,20,NA
BOF2014001.009.D,Clinocardium ciliatum,Iceland cockle,1,6,NA
BOF2014001.01.D,Ctenodiscus crispatus,mud star,1,11,NA
BOF2014001.011.D,Aurelia aurita,moon jelly,15,1429,NA
BOF2014001.012.D,Cryptacanthodes maculatus,wrymouth,1,73,NA
BOF2014001.013.D,Cyclopterus lumpus,lumpfish,1,439,NA
BOF2014001.014.D,Pseudopleuronectes americanus,winter flounder,362,20598,NA
BOF2014001.015.D,Alosa pseudoharengus,alewife,28,218,NA
BOF2014001.016.D,Merluccius bilinearis,silver hake,427,27294,NA
BOF2014001.017.D,Peprilus triacanthus,butterfish,12,962,NA
BOF2014001.018.D,Scophthalmus aquosus,windowpane flounder,23,1866,NA
BOF2014001.019.D,Urophycis chuss,red hake,19,608,NA
BOF2014001.02.A,Homarus americanus,American lobster,21,8671,NA
BOF2014001.021.A,Cancer irroratus,rock crab,3,353,NA
BOF2014001.022.A,Strongylocentrotus droebachiensis,green sea urchin,13,415,NA
BOF2014001.001.A,Melanogrammus aeglefinus,haddock,8,139,NA
BOF2014001.002.A,Doryteuthis pealeii,longfin inshore squid,3,109,NA
BOF2014001.003.A,Crangon septemspinosa,sand shrimp,2,8,NA
BOF2014001.004.A,Cucumaria frondosa,orange-footed sea cucumber,4,750,NA
BOF2014001.005.A,Cyclopterus lumpus,lumpfish,3,570,NA
BOF2014001.006.A,Alosa pseudoharengus,alewife,61,2603,NA
BOF2014001.007.A,Merluccius bilinearis,silver hake,20,913,NA
BOF2014001.001.A,Pseudopleuronectes americanus,winter flounder,12,363,NA
BOF2014001.002.A,Myoxocephalus aenaeus,little sculpin,1,67,NA
BOF2014001.003.A,Pandalus montagui,Montague shrimp,12,30,NA
BOF2014001.004.A,Henricia sanguinolenta,blood star,1,1,NA
BOF2014001.005.A,Bolinopsis infundibulum,comb jelly,9,12,NA
BOF2014001.006.B,Placopecten magellanicus,deep sea scallop,2,7,NA
BOF2014001.007.B,Mercenaria mercenaria,quahog,8,116,NA
BOF2014001.008.B,Styela montereyensis,stalked tunicate,4,180,NA
BOF2014001.009.B,Asterias vulgaris,northern sea star,6,430,NA
BOF2014001.001.B,Cancer irroratus,rock crab,1,120,NA
BOF2014001.002.B,Strongylocentrotus droebachiensis,green sea urchin,8,182,NA
BOF2014001.003.B,Pandalus borealis,northern shrimp,10,114,NA
BOF2014001.004.B,Doryteuthis pealeii,longfin inshore squid,1,48,NA
BOF2014001.005.B,Alosa pseudoharengus,alewife,10,647,NA
BOF2014001.006.B,Clupea harengus,herring,1,27,NA
BOF2014001.007.B,Osmerus mordax,smelt,4,134,NA
BOF2014001.008.B,Pollachius virens,pollock,1,13,NA
BOF2014001.009.B,Melanogrammus aeglefinus,haddock,2,19,NA
BOF2014001.01.B,Hippoglossoides platessoides,American plaice,4,79,NA
BOF2014001.011.B,Crangon septemspinosa,sand shrimp,1,3,NA
BOF2014001.012.B,Pandalus montagui,Montague shrimp,118,414,NA
BOF2014001.001.B,Aurelia aurita,moon jelly,5,111,NA
BOF2014001.002.B,Cyclopterus lumpus,lumpfish,1,165,NA
BOF2014001.003.B,Pseudopleuronectes americanus,winter flounder,419,19079,NA
BOF2014001.004.B,Peprilus triacanthus,butterfish,24,1311,NA
BOF2014001.005.B,Scophthalmus aquosus,windowpane flounder,19,1112,NA
BOF2014001.006.B,Merluccius bilinearis,silver hake,268,16369,NA
BOF2014001.007.B,Urophycis chuss,red hake,45,1649,NA
BOF2014001.008.B,Homarus americanus,American lobster,480,320582,NA
BOF2014001.009.B,Cancer irroratus,rock crab,8,950,NA
BOF2014001.01.B,Cancer borealis,Jonah crab,2,199,NA
BOF2014001.011.B,Placopecten magellanicus,deep sea scallop,29,1234,NA
BOF2014001.012.B,Scomber scombrus,mackerel,1,260,NA
BOF2014001.013.B,Myoxocephalus octodecemspinosus,longhorn sculpin,22,2044,NA
BOF2014001.014.B,Doryteuthis pealeii,longfin inshore squid,5,228,NA
BOF2014001.015.A,Homarus americanus,American lobster,11,7087,NA
BOF2014001.016.A,Cancer irroratus,rock crab,3,353,NA
BOF2014001.017.A,Placopecten magellanicus,deep sea scallop,6,228,NA
BOF2014001.018.A,Cucumaria frondosa,orange-footed sea cucumber,2,622,NA
BOF2014001.019.A,Crangon septemspinosa,sand shrimp,5,21,NA
BOF2014001.001.A,Urophycis tenuis,white hake,2,197,NA
BOF2014001.002.A,Peprilus triacanthus,butterfish,2,87,NA
BOF2014001.003.A,Clupea harengus,herring,1,39,NA
BOF2014001.004.A,Mercenaria mercenaria,quahog,1,4,NA
BOF2014001.005.A,Pandalus montagui,Montague shrimp,1,4,NA
BOF2014001.006.A,Urophycis chuss,red hake,11,429,NA
BOF2014001.007.A,Pseudopleuronectes americanus,winter flounder,63,2498,NA
BOF2014001.008.A,Alosa pseudoharengus,alewife,34,2374,NA
BOF2014001.009.A,Myoxocephalus octodecemspinosus,longhorn sculpin,1,330,NA
BOF2014001.01.A,Merluccius bilinearis,silver hake,195,10546,NA
BOF2014001.011.C,Homarus americanus,American lobster,49,55529,NA
BOF2014001.012.C,Cancer irroratus,rock crab,1,396,NA
BOF2014001.013.C,Cancer borealis,Jonah crab,1,118,NA
BOF2014001.014.C,Placopecten magellanicus,deep sea scallop,8,426,NA
BOF2014001.015.C,Mercenaria mercenaria,quahog,13,182,NA
BOF2014001.016.C,Clinocardium ciliatum,Iceland cockle,1,0.5,NA
BOF2014001.017.C,Styela montereyensis,stalked tunicate,5,88,NA
BOF2014001.018.C,Leucoraja erinacea,little skate,1,728,NA
BOF2014001.019.C,Osmerus mordax,smelt,2,48,NA
BOF2014001.02.C,Alosa pseudoharengus,alewife,6,254,NA
BOF2014001.001.C,Scophthalmus aquosus,windowpane flounder,5,219,NA
BOF2014001.002.C,Urophycis chuss,red hake,11,597,NA
BOF2014001.003.C,Doryteuthis pealeii,longfin inshore squid,3,123,NA
BOF2014001.004.C,Myoxocephalus octodecemspinosus,longhorn sculpin,2,176,NA
BOF2014001.005.C,Peprilus triacanthus,butterfish,1,71,NA
BOF2014001.006.C,Asterias vulgaris,northern sea star,4,193,NA
BOF2014001.007.C,Crangon septemspinosa,sand shrimp,4,12,NA
BOF2014001.008.C,Merluccius bilinearis,silver hake,90,4495,NA
BOF2014001.009.C,Clupea harengus,herring,356,8279,NA
BOF2014001.01.C,Pseudopleuronectes americanus,winter flounder,215,7998,NA
BOF2014001.011.B,Cucumaria frondosa,orange-footed sea cucumber,38,9732,NA
BOF2014001.012.B,Homarus americanus,American lobster,292,63113,NA
BOF2014001.013.B,Cancer irroratus,rock crab,2,197,NA
BOF2014001.014.B,Strongylocentrotus droebachiensis,green sea urchin,52,1159,NA
BOF2014001.015.B,Hyas araneus,Atlantic lyre crab,1,4,NA
BOF2014001.016.B,Pandalus montagui,Montague shrimp,53,191,NA
BOF2014001.017.B,Asterias vulgaris,northern sea star,2,74,NA
BOF2014001.018.B,Scomber scombrus,mackerel,2,416,NA
BOF2014001.019.B,Doryteuthis pealeii,longfin inshore squid,1,100,NA
BOF2014001.02.B,Osmerus mordax,smelt,4,236,NA
BOF2014001.021.B,Alosa pseudoharengus,alewife,1,25,NA
BOF2014001.022.B,Myoxocephalus octodecemspinosus,longhorn sculpin,2,109,NA
BOF2014001.001.B,Triglops murrayi,moustache sculpin,1,15,NA
BOF2014001.002.B,Aurelia aurita,moon jelly,1,21,NA
BOF2014001.003.B,Merluccius bilinearis,silver hake,6,390,NA
BOF2014001.004.B,Pseudopleuronectes americanus,winter flounder,42,1574,NA
BOF2014001.005.B,Clupea harengus,herring,114,2989,NA
BOF2014001.006.D,Alosa pseudoharengus,alewife,148,4262,NA
BOF2014001.007.D,Pseudopleuronectes americanus,winter flounder,454,41439,NA
BOF2014001.008.D,Urophycis chuss,red hake,3,136,NA
BOF2014001.009.D,Melanogrammus aeglefinus,haddock,5,56,NA
BOF2014001.01.D,Urophycis tenuis,white hake,22,1182,NA
BOF2014001.011.D,Myoxocephalus octodecemspinosus,longhorn sculpin,1,204,NA
BOF2014001.012.D,Scophthalmus aquosus,windowpane flounder,1,70,NA
BOF2014001.013.D,Doryteuthis pealeii,longfin inshore squid,1,102,NA
BOF2014001.014.D,Aurelia aurita,moon jelly,1,34,NA
BOF2014001.015.D,Pandalus montagui,Montague shrimp,44,128,NA
BOF2014001.016.D,Ctenodiscus crispatus,mud star,2,16,NA
BOF2014001.017.D,Homarus americanus,American lobster,151,116847,NA
BOF2014001.018.D,Clupea harengus,herring,98,2586,NA
BOF2014001.019.D,Merluccius bilinearis,silver hake,111,23493,NA
BOF2014001.02.D,Cancer irroratus,rock crab,5,484,NA
BOF2014001.021.D,Peprilus triacanthus,butterfish,6,412,NA
BOF2014001.022.D,Placopecten magellanicus,deep sea scallop,2,16,NA
BOF2014001.023.D,Hippoglossoides platessoides,American plaice,37,482,NA
BOF2014001.024.D,Glyptocephalus cynoglossus,witch flounder,4,70,NA
BOF2014001.025.D,Merluccius bilinearis,silver hake,1897,117004,NA
BOF2014001.026.D,Homarus americanus,American lobster,3,6670,NA
BOF2014001.001.D,Clupea harengus,herring,11,332,NA
BOF2014001.002.D,Peprilus triacanthus,butterfish,4,386,NA
BOF2014001.003.D,Hippoglossoides platessoides,American plaice,15,592,NA
BOF2014001.004.D,Scophthalmus aquosus,windowpane flounder,1,192,NA
BOF2014001.005.D,Alosa pseudoharengus,alewife,9,316,NA
BOF2014001.006.D,Melanogrammus aeglefinus,haddock,3,302,NA
BOF2014001.007.D,Urophycis tenuis,white hake,8,708,NA
BOF2014001.008.D,Cancer irroratus,rock crab,2,120,NA
BOF2014001.009.D,Pseudopleuronectes americanus,winter flounder,62,16759,NA
BOF2014001.01.D,Pandalus montagui,Montague shrimp,301,1476,NA
BOF2014001.011.D,Pandalus borealis,northern shrimp,16,182,NA
BOF2014001.012.D,Enchelyopus cimbrius,fourbeard rockling,2,138,NA
BOF2014001.013.D,Ctenodiscus crispatus,mud star,5,40,NA
BOF2014001.014.D,Crangon septemspinosa,sand shrimp,1,1,NA
BOF2014001.015.D,Placopecten magellanicus,deep sea scallop,5,27,NA
BOF2014001.016.D,Gadus morhua,Atlantic cod,1,228,NA
BOF2014001.017.C,Merluccius bilinearis,silver hake,1095,82425,NA
BOF2014001.018.C,Peprilus triacanthus,butterfish,51,4048,NA
BOF2014001.019.C,Alosa pseudoharengus,alewife,160,12818,NA
BOF2014001.02.C,Glyptocephalus cynoglossus,witch flounder,1,20,NA
BOF2014001.021.C,Scophthalmus aquosus,windowpane flounder,2,139,NA
BOF2014001.022.C,Urophycis tenuis,white hake,9,308,NA
BOF2014001.001.C,Urophycis chuss,red hake,18,1552,NA
BOF2014001.002.C,Aurelia aurita,moon jelly,2,122,NA
BOF2014001.003.C,Spisula solidissima,surf clam,2,43,NA
BOF2014001.004.C,Pseudopleuronectes americanus,winter flounder,110,45403,NA
BOF2014001.005.C,Clupea harengus,herring,3,75,NA
BOF2014001.006.C,Homarus americanus,American lobster,26,25255,NA
BOF2014001.007.C,Cancer irroratus,rock crab,12,1432,NA
BOF2014001.001.C,Placopecten magellanicus,deep sea scallop,16,514,NA
BOF2014001.002.C,Ctenodiscus crispatus,mud star,5,26,NA
BOF2014001.003.C,Doryteuthis pealeii,longfin inshore squid,5,216,NA
BOF2014001.004.C,Osmerus mordax,smelt,1,55,NA
BOF2014001.005.C,Lycodes lavalaei,Laval's eelpout,1,163,NA
BOF2014001.006.C,Prionotus corolinus,northern sea robin,1,235,NA
BOF2014001.007.C,Pandalus montagui,Montague shrimp,13,52,NA
BOF2014001.008.B,Pseudopleuronectes americanus,winter flounder,60,2781,NA
BOF2014001.009.B,Osmerus mordax,smelt,19,6073,NA
BOF2014001.001.B,Scophthalmus aquosus,windowpane flounder,2,69,NA
BOF2014001.002.B,Urophycis chuss,red hake,2,102,NA
BOF2014001.003.B,Urophycis tenuis,white hake,2,120,NA
BOF2014001.004.B,Alosa sapidissima,shad,2,219,NA
BOF2014001.005.B,Alosa pseudoharengus,alewife,390,11849,NA
BOF2014001.006.B,Cyclopterus lumpus,lumpfish,1,423,NA
BOF2014001.007.B,Peprilus triacanthus,butterfish,15,1323,NA
BOF2014001.008.B,Clupea harengus,herring,89,2202,NA
BOF2014001.009.B,Merluccius bilinearis,silver hake,70,5381,NA
BOF2014001.01.B,Homarus americanus,American lobster,136,76307,NA
BOF2014001.011.B,Cancer irroratus,rock crab,4,468,NA
BOF2014001.012.B,Asterias vulgaris,northern sea star,6,433,NA
BOF2014001.001.B,Placopecten magellanicus,deep sea scallop,1,26,NA
BOF2014001.002.B,Myoxocephalus octodecemspinosus,longhorn sculpin,3,248,NA
BOF2014001.003.B,Spisula solidissima,surf clam,1,14,NA
BOF2014001.004.B,Strongylocentrotus droebachiensis,green sea urchin,1,34,NA
BOF2014001.005.B,Glyptocephalus cynoglossus,witch flounder,1,38,NA
BOF2014001.006.B,Hippoglossoides platessoides,American plaice,4,68,NA
BOF2014001.007.C,Urophycis chuss,red hake,46,4424,NA
BOF2014001.008.C,Urophycis tenuis,white hake,159,13868,NA
BOF2014001.009.C,Homarus americanus,American lobster,189,51262,NA
BOF2014001.01.C,Myoxocephalus octodecemspinosus,longhorn sculpin,329,21334,NA
BOF2014001.011.C,Hemitripterus americanus,sea raven,1,1154,NA
BOF2014001.012.C,Cancer irroratus,rock crab,9,1213,NA
BOF2014001.013.C,Placopecten magellanicus,deep sea scallop,5,171,NA
BOF2014001.014.C,Melanogrammus aeglefinus,haddock,3,212,NA
BOF2014001.015.C,Zoarces americanus,ocean pout,4,267,NA
BOF2014001.016.C,Scophthalmus aquosus,windowpane flounder,9,776,NA
BOF2014001.017.C,Peprilus triacanthus,butterfish,19,1682,NA
BOF2014001.018.C,Alosa pseudoharengus,alewife,28,1185,NA
BOF2014001.019.C,Sebastes fasciatus,Acadian redfish,3,118,NA
BOF2014001.001.C,Hippoglossoides platessoides,American plaice,3,146,NA
BOF2014001.002.C,Strongylocentrotus droebachiensis,green sea urchin,3,151,NA
BOF2014001.003.C,Styela montereyensis,stalked tunicate,3,151,NA
BOF2014001.004.C,Pandalus montagui,Montague shrimp,3,25,NA
BOF2014001.005.C,Aphrodita aculeata,sea mouse,3,79,NA
BOF2014001.006.C,Cucumaria frondosa,orange-footed sea cucumber,42,11176,NA
BOF2014001.007.C,Amblyraja radiata,thorny skate,3,278,NA
BOF2014001.008.C,Leucoraja erinacea,little skate,20,1751,NA
BOF2014001.009.C,Pollachius virens,pollock,1,72,NA
